text,title,cleaned_data
"Living things maintain small electric fields to (1) enhance certain
chemical reactions, (2) promote communication of states with in a cell,
(3) communicate between cells (of which the nervous system is a specialized
example), and perhaps other uses.  These electric fields change with location
and time in a large organism.  Special photographic techniques such as applying
external fields in Kirillian photography interact with these fields or the resistances
caused by these fields to make interesting pictures. Perhaps such pictures will
be diagonistic of disease problems in organisms when better understood. Perhaps not.

Studying the overall electric activity of biological systems is several hundred
years old, but not a popular activity.  Perhaps, except in the case of a few
tissues like nerves and the electric senses of fishes, it is hard to reduce the
investigation into small pieces that can be clearly analyzed.  There are some
hints that manipulating electric fields is a useful therapy such as speeding
the healing of broken bones, but not understood why.",sci.med,living things maintain small electric fields to enhance certain chemical reactions promote communication of states with in a cell communicate between cells of which the nervous system is a specialized example and perhaps other uses these electric fields change with location and time in a large organism special photographic techniques such as applying external fields in kirillian photography interact with these fields or the resistances caused by these fields to make interesting pictures perhaps such pictures will be diagonistic of disease problems in organisms when better understood perhaps not studying the overall electric activity of biological systems is several hundred years old but not a popular activity perhaps except in the case of a few tissues like nerves and the electric senses of fishes it is hard to reduce the investigation into small pieces that can be clearly analyzed there are some hints that manipulating electric fields is a useful therapy such as speeding the healing of broken bones but not understood why
"When using Photoshop is there anyway to get an elliptical dot for the
halftone screen rather than a round dot ? My printer would prefer an
elliptical dot, but I'm not sure how to set it up. I'm sending from a Mac
IIci to a Linotronic L300 imagesetter and I am using Photoshop 2.0.1 to
make my separations.

Any help would be greatly appreshed. T.I.A. 

Michael (Unscene) 


Michael Maier, Computer Artist, ANL  |  [|Ú]---*Z* Glued to the veiw.      ",comp.graphics,when using photoshop is there anyway to get an elliptical dot for the halftone screen rather than a round dot my printer would prefer an elliptical dot but i m not sure how to set it up i m sending from a mac iici to a linotronic l imagesetter and i am using photoshop to make my separations any help would be greatly appreshed t i a michael unscene michael maier computer artist anl z glued to the veiw
"If the  new  Kuiper belt object *is*  called 'Karla', the next
one  should be called 'Smiley'.",sci.space,if the new kuiper belt object is called karla the next one should be called smiley
"patrickd@wpi.WPI.EDU (Lazer) writes ...

Specs for the 68040 can fill a 500 page book.  Some highlights are...
32-bit address space w/ 32-bit data width.  18 32-bit integer registers 
& 8 80-bit floating point registers.  8K copyback capable caches,
4-way set associative.  Typical 1.2 clocks/integer instruction.  5
clocks for a floating point multiply.

(interesting aside: the 68040 can multiply two 80-bit floating point
numbers in less time than it can multiply two 32-bit integers)


More of the same but with multiple instruction dispatching.  Figure
about 0.8 clocks per instruction typical (my guess).  But the Motorola
guys are pretty bright, it may be less.


Call Motorola.  I'm not typing it all in.


I'm predicting that both the 680x0 and x86 lines are reaching their
ends.  New experimental processors have 64-bit data pathways and can
schedule up to 8 out of 32 instructions each clock cycle.  That sort
of trick can't really be done with CISC architectures.

I finally saw some details on the 586/Pentium and was not greatly
impressed.  They've finally done some work on the FPU to get it up to
speed, but otherwise it's only going to be a 2x speedup.  And to get
that they're using two integer units, larger caches, and a branch
target buffer.  Yes, I know they're talking about 100MHz processors.
Big whoop.  Designing a 100MHz board is difficult and really
expensive.  Priced 15ns memory chips lately?
",comp.sys.mac.hardware,patrickd wpi wpi edu lazer writes specs for the can fill a page book some highlights are bit address space w bit data width bit integer registers bit floating point registers k copyback capable caches way set associative typical clocks integer instruction clocks for a floating point multiply interesting aside the can multiply two bit floating point numbers in less time than it can multiply two bit integers more of the same but with multiple instruction dispatching figure about clocks per instruction typical my guess but the motorola guys are pretty bright it may be less call motorola i m not typing it all in i m predicting that both the x and x lines are reaching their ends new experimental processors have bit data pathways and can schedule up to out of instructions each clock cycle that sort of trick can t really be done with cisc architectures i finally saw some details on the pentium and was not greatly impressed they ve finally done some work on the fpu to get it up to speed but otherwise it s only going to be a x speedup and to get that they re using two integer units larger caches and a branch target buffer yes i know they re talking about mhz processors big whoop designing a mhz board is difficult and really expensive priced ns memory chips lately
"

This is an excellent question and I'll be anxious to see if there are
any such cases.  I doubt it.  In the medieval period (esp. 10th-cent.
when Aquinas flourished) argument was a useful tool because everyone
""knew the rules.""  Today, when you can't count on people knowing even
the basics of logic or seeing through rhetoric, a good argument is
often indistinguishable from a poor one.

Sorry; just one of my perennial gripes...<:->

Ken",soc.religion.christian,this is an excellent question and i ll be anxious to see if there are any such cases i doubt it in the medieval period esp th cent when aquinas flourished argument was a useful tool because everyone knew the rules today when you can t count on people knowing even the basics of logic or seeing through rhetoric a good argument is often indistinguishable from a poor one sorry just one of my perennial gripes ken
"
: I've been trying to view .tga files created in POVRAY.  I have the Diamond
: SpeedStar 24 Video board (not the _24X_).  So far I can convert them to
: jpeg using cjpeg and view them with CVIEW but that only displays 8 bit color.
..
: Just want to see the darn things in real color...

I have an ATI ultra pro card, and have found that the easiest way to view
true color images is using their windows drivers and something like winjpeg
or photofinish.  

If anyone has a non-windows solution, I'd love to hear it!",comp.graphics,i ve been trying to view tga files created in povray i have the diamond speedstar video board not the x so far i can convert them to jpeg using cjpeg and view them with cview but that only displays bit color just want to see the darn things in real color i have an ati ultra pro card and have found that the easiest way to view true color images is using their windows drivers and something like winjpeg or photofinish if anyone has a non windows solution i d love to hear it
"
 

Hmmm. Care to be more vague?
",sci.med,hmmm care to be more vague
"
A brilliant algorithm.  *NOT*

Seriously - it's correct, up to a sign change.  The flaw is obvious, and
will therefore not be shown.

sorry about that.


",comp.graphics,a brilliant algorithm not seriously it s correct up to a sign change the flaw is obvious and will therefore not be shown sorry about that
"It is not true that dermatologists gave not reached the laser age, in
fact, lasers in dermatological surgery is a very new and exciting field.

It probably won't be effective in tinea pedis because the laser is
usually a superficial burn (to avoid any deeper damage). Limited tinea
pedis can be cured albeit sometimes slowly by topical antifungals as
well as systemic medication i.e. tablets. Finally, a self-diagnosis is
not always reliable, lichen simplex chronicus can look like a fungal
infection and requires very different treatment.",sci.med,it is not true that dermatologists gave not reached the laser age in fact lasers in dermatological surgery is a very new and exciting field it probably won t be effective in tinea pedis because the laser is usually a superficial burn to avoid any deeper damage limited tinea pedis can be cured albeit sometimes slowly by topical antifungals as well as systemic medication i e tablets finally a self diagnosis is not always reliable lichen simplex chronicus can look like a fungal infection and requires very different treatment
"
Ah and how...??? Amen to that one!!!!!!  Thanks Chuck for sharing...
after all, no one can serve two masters...God and money......
after all, the preciousness of God as Lord and Savior is far more valuable than
being a millionaire will ever be...
",soc.religion.christian,ah and how amen to that one thanks chuck for sharing after all no one can serve two masters god and money after all the preciousness of god as lord and savior is far more valuable than being a millionaire will ever be
